item_id,domain_id,domain_label,scale_min,scale_max,scale_labels,item_stem
B1,psychometric,Psychometric indicators,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",A borrower who demonstrates strong financial discipline is more likely to receive the recommendation for loan approval.
B2,psychometric,Psychometric indicators,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",A borrower's commitment to repaying financial obligations positively influences loan approval decisions.
B3,psychometric,Psychometric indicators,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Evidence that a borrower plans and manages finances responsibly positively influences lending decisions.
B4,psychometric,Psychometric indicators,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",A borrower who demonstrates confidence in managing financial responsibilities is more likely to be considered creditworthy.
B5,psychometric,Psychometric indicators,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree","Psychological characteristics such as responsibility, self-control, and commitment provide valuable information beyond traditional financial records when making lending decisions."
C6,social,Social capital,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",A borrower's positive reputation within the community increases confidence in approving a loan application.
C7,social,Social capital,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Strong peer recommendations positively influence the assessment of borrower reliability.
C8,social,Social capital,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Active participation in community or business groups increases the confidence in the borrower's creditworthiness.
C9,social,Social capital,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Evidence of strong community trust reduces uncertainty when making lending decisions.
C10,social,Social capital,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Social relationships and community support provide useful information beyond traditional financial indicators when evaluating loan applications.
D11,behavioral,Behavioral economics,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Evidence that a borrower makes consistent financial decisions increases confidence in the borrower's ability to repay.
D12,behavioral,Behavioral economics,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Borrowers who avoid impulsive financial decisions are more likely to receive loan approval.
